language,year,creator,first_release,typing_discipline,paradigm,github_repositories,stackoverflow_questions,tiobe_rank,pypl_rank,github_stars,average_salary_usd,learning_difficulty,performance_score,ai_popularity_score,web_development_score,data_science_score,mobile_score,game_dev_score,embedded_score,demand_score
Lua,2021,"Roberto Ierusalimschy, Luiz H. de Figueiredo, Waldemar Celes",1993,Dynamic,"Procedural, Scripting",36136,26165,21,21,4758,94926.31,3.65,61.68,7.39,7.75,6.85,14.44,53.63,41.21,12.89
Dart,2021,Google (Lars Bak & Kasper Lund),2011,Static,"Multi-paradigm (OOP, Functional)",23214,19187,22,23,3764,115918.85,3.76,57.24,1.92,17.85,2.99,75.18,13.49,1.0,15.15
Objective-C,2021,Brad Cox & Tom Love,1984,Static,Object-Oriented,27880,19120,23,26,4711,110357.18,5.7,72.47,1.63,2.51,1.0,29.54,12.54,2.81,15.51
Groovy,2021,James Strachan,2003,Dynamic,"Multi-paradigm (OOP, Functional, Scripting)",20584,13768,24,25,3263,112451.49,4.53,59.85,8.05,12.76,3.88,11.09,3.56,6.89,18.01
Elixir,2021,José Valim,2011,Dynamic,"Functional, Concurrent",13937,9607,25,27,2290,115567.2,5.52,67.04,4.22,21.38,1.0,3.63,3.55,1.0,19.26
Haskell,2021,Simon Peyton Jones et al. (committee),1990,Static,Purely Functional,17369,14559,26,24,3518,123066.48,7.96,85.4,10.31,5.68,12.76,1.12,1.0,1.86,17.39
Julia,2021,"Jeff Bezanson, Stefan Karpinski, Viral Shah, Alan Edelman",2012,Dynamic,"Multi-paradigm (Functional, Procedural)",13065,8244,27,18,2117,124408.08,5.53,71.88,50.43,1.0,71.81,1.0,2.07,1.0,30.88
Clojure,2021,Rich Hickey,2007,Dynamic,Functional,11871,8369,28,28,2037,123564.69,6.54,64.28,1.77,16.92,12.03,3.41,1.0,9.48,15.35
F#,2021,Microsoft (Don Syme),2005,Static,"Functional-first, Multi-paradigm",9310,6489,29,29,1518,121760.53,7.22,77.07,5.9,8.4,13.91,1.0,1.0,3.76,20.05
Python,2022,Guido van Rossum,1991,Dynamic,"Multi-paradigm (OOP, Functional, Procedural)",250472,162426,1,1,36343,122747.0,3.1,46.49,100.0,57.46,100.0,14.54,16.64,6.7,51.75
JavaScript,2022,Brendan Eich,1995,Dynamic,"Multi-paradigm (Event-driven, Functional, Prototype-based)",198751,142687,2,2,33275,114197.95,3.63,53.99,51.43,100.0,30.31,29.12,50.94,6.25,38.5
Java,2022,James Gosling,1995,Static,Object-Oriented,196560,138386,3,4,26713,121715.54,4.85,72.07,37.25,50.31,32.93,61.04,32.55,12.2,23.39
TypeScript,2022,Microsoft (Anders Hejlsberg),2012,Static,"Multi-paradigm (OOP, Functional)",144471,105059,4,3,20102,129464.61,4.4,47.71,50.68,91.05,26.76,31.26,39.82,2.08,31.67
SQL,2022,Donald D. Chamberlin & Raymond F. Boyce,1974,Static,Declarative,221642,141613,5,5,34368,103935.62,2.5,56.63,14.16,29.6,59.54,1.43,4.39,7.51,16.02
C++,2022,Bjarne Stroustrup,1985,Static,"Multi-paradigm (OOP, Procedural, Generic)",161313,118112,6,6,30888,126499.03,7.73,94.28,24.89,15.62,28.23,15.82,85.53,86.03,21.9
C#,2022,Microsoft (Anders Hejlsberg),2000,Static,"Multi-paradigm (OOP, Functional, Event-driven)",135625,111928,7,7,22593,116954.18,5.2,72.92,25.72,46.08,17.52,36.88,72.87,13.35,15.39
C,2022,Dennis Ritchie,1972,Static,Procedural,158266,109367,8,8,25487,113076.69,7.07,96.74,7.49,8.21,16.88,1.0,36.57,93.84,12.89
Shell (Bash),2022,Brian Fox,1989,Dynamic,"Scripting, Procedural",107753,83209,9,10,20374,95778.49,3.11,51.68,7.37,3.56,12.67,5.49,1.0,47.16,14.77
Go,2022,"Robert Griesemer, Rob Pike, Ken Thompson",2009,Static,"Procedural, Concurrent",73806,61342,10,11,13012,137060.56,3.72,85.57,16.35,55.72,19.51,1.0,1.0,26.31,27.03
PHP,2022,Rasmus Lerdorf,1995,Dynamic,"Multi-paradigm (Procedural, OOP)",105894,76844,11,12,18288,92119.61,2.95,45.7,2.62,80.39,4.04,2.41,2.32,6.53,9.28
Swift,2022,Apple (Chris Lattner),2014,Static,"Multi-paradigm (OOP, Functional, Protocol-oriented)",49566,42238,12,15,8493,129348.16,4.59,72.68,11.14,5.82,1.0,92.01,18.9,8.65,22.56
Kotlin,2022,JetBrains,2011,Static,"Multi-paradigm (OOP, Functional)",59286,40863,13,16,10275,137878.14,4.37,70.24,11.19,35.75,7.12,92.15,2.48,3.73,21.95
Rust,2022,Graydon Hoare,2010,Static,"Multi-paradigm (Functional, Concurrent, Generic)",56917,44049,14,14,9514,150074.91,6.18,94.28,23.49,36.79,5.44,3.08,35.75,70.35,29.08
Ruby,2022,Yukihiro Matsumoto,1995,Dynamic,Object-Oriented,66502,48066,15,17,13324,111827.68,2.79,36.38,5.98,68.55,3.04,4.26,1.0,1.0,10.16
R,2022,Ross Ihaka & Robert Gentleman,1993,Dynamic,"Functional, Procedural",69240,43919,16,9,10868,112397.33,4.06,41.13,57.26,1.0,87.01,1.0,4.22,1.0,34.92
MATLAB,2022,Cleve Moler,1984,Dynamic,"Array/Matrix-based, Procedural",62738,45267,17,13,10131,116691.59,4.33,46.86,19.03,3.02,57.61,1.0,7.05,18.32,24.22
Scala,2022,Martin Odersky,2004,Static,"Multi-paradigm (OOP, Functional)",33378,24330,18,19,6254,136895.01,6.52,80.14,11.46,19.15,36.99,1.0,1.83,9.99,24.96
Dart,2022,Google (Lars Bak & Kasper Lund),2011,Static,"Multi-paradigm (OOP, Functional)",28223,24293,19,20,4228,118593.79,4.29,59.09,6.23,15.49,1.0,77.07,1.0,2.95,18.86
Perl,2022,Larry Wall,1987,Dynamic,"Procedural, Scripting",43834,27982,20,21,6743,106704.7,5.53,59.56,2.72,20.06,1.0,1.0,6.43,12.03,13.81
Lua,2022,"Roberto Ierusalimschy, Luiz H. de Figueiredo, Waldemar Celes",1993,Dynamic,"Procedural, Scripting",34814,27681,21,22,6246,100517.74,3.44,65.18,2.1,2.75,1.0,9.84,61.77,38.78,7.6
VB.NET,2022,Microsoft,2002,Static,"Object-Oriented, Event-driven",29058,25304,22,23,5139,93239.39,3.66,55.77,1.51,16.86,1.0,8.02,1.0,4.0,11.83
Objective-C,2022,Brad Cox & Tom Love,1984,Static,Object-Oriented,28156,20695,23,25,4809,117981.26,5.94,72.33,3.83,5.88,1.0,36.09,9.57,9.81,20.34
Elixir,2022,José Valim,2011,Dynamic,"Functional, Concurrent",15870,12396,24,26,2767,121608.84,5.38,61.38,3.6,30.53,5.28,2.38,5.14,5.48,22.87
Julia,2022,"Jeff Bezanson, Stefan Karpinski, Viral Shah, Alan Edelman",2012,Dynamic,"Multi-paradigm (Functional, Procedural)",14263,9689,25,18,2472,121691.29,5.66,76.21,42.65,1.0,74.61,1.0,1.0,1.0,26.56
Groovy,2022,James Strachan,2003,Dynamic,"Multi-paradigm (OOP, Functional, Scripting)",19675,14737,26,27,2869,117024.88,4.71,60.62,1.0,19.65,3.36,3.84,4.98,1.33,18.69
Haskell,2022,Simon Peyton Jones et al. (committee),1990,Static,Purely Functional,20587,15345,27,24,3418,128518.45,8.33,84.1,3.92,5.35,16.57,2.22,1.0,2.88,17.93
Clojure,2022,Rich Hickey,2007,Dynamic,Functional,12363,8896,28,29,2364,128932.17,6.22,67.64,5.05,17.9,6.28,1.0,1.15,1.69,20.15
F#,2022,Microsoft (Don Syme),2005,Static,"Functional-first, Multi-paradigm",10923,7682,29,28,1478,126672.81,7.02,74.49,9.1,14.93,14.11,4.98,1.0,1.0,19.53
Python,2023,Guido van Rossum,1991,Dynamic,"Multi-paradigm (OOP, Functional, Procedural)",245457,178948,1,1,43474,130624.34,2.95,44.06,100.0,57.72,100.0,16.16,22.53,4.17,49.96
JavaScript,2023,Brendan Eich,1995,Dynamic,"Multi-paradigm (Event-driven, Functional, Prototype-based)",191737,157833,2,2,33984,121095.13,3.34,46.65,54.06,95.55,31.24,39.26,55.63,4.37,30.42
TypeScript,2023,Microsoft (Anders Hejlsberg),2012,Static,"Multi-paradigm (OOP, Functional)",140903,106058,3,3,21698,129039.44,4.32,51.26,49.5,100.0,24.53,25.61,42.35,16.62,32.78
SQL,2023,Donald D. Chamberlin & Raymond F. Boyce,1974,Static,Declarative,225187,175061,4,4,35548,100120.07,2.57,57.44,11.44,27.81,64.93,3.21,2.0,6.03,19.58
Java,2023,James Gosling,1995,Static,Object-Oriented,191167,135587,5,5,25478,126448.64,5.09,68.84,35.1,55.29,36.66,61.46,21.75,12.64,32.06
C#,2023,Microsoft (Anders Hejlsberg),2000,Static,"Multi-paradigm (OOP, Functional, Event-driven)",148570,97003,6,6,24908,119452.54,5.1,79.11,31.29,44.24,15.55,37.32,77.1,9.02,24.89
C++,2023,Bjarne Stroustrup,1985,Static,"Multi-paradigm (OOP, Procedural, Generic)",157778,128638,7,7,27658,135283.74,7.47,94.49,19.97,1.0,26.85,3.25,81.7,85.99,25.33
C,2023,Dennis Ritchie,1972,Static,Procedural,165340,115062,8,8,27216,119195.15,6.78,99.13,7.18,4.24,11.31,6.45,40.28,96.63,18.8
Shell (Bash),2023,Brian Fox,1989,Dynamic,"Scripting, Procedural",118802,86964,9,11,19478,102215.58,2.75,55.58,1.0,8.22,13.92,2.12,1.0,51.54,13.36
Go,2023,"Robert Griesemer, Rob Pike, Ken Thompson",2009,Static,"Procedural, Concurrent",94364,67038,10,10,16092,145457.33,3.16,87.0,15.25,57.76,15.63,8.11,8.23,23.52,30.21
PHP,2023,Rasmus Lerdorf,1995,Dynamic,"Multi-paradigm (Procedural, OOP)",100650,74617,11,12,17331,94868.94,2.96,43.63,4.43,92.09,4.61,1.02,1.0,1.0,17.25
Rust,2023,Graydon Hoare,2010,Static,"Multi-paradigm (Functional, Concurrent, Generic)",77429,44362,12,13,12596,162294.87,6.71,100.0,23.29,31.54,8.48,1.99,26.42,73.69,30.94
Kotlin,2023,JetBrains,2011,Static,"Multi-paradigm (OOP, Functional)",65889,49292,13,14,10976,138067.11,4.59,67.7,14.65,30.02,6.79,92.21,16.59,6.24,24.08
Swift,2023,Apple (Chris Lattner),2014,Static,"Multi-paradigm (OOP, Functional, Protocol-oriented)",52195,41306,14,15,8301,140400.17,4.57,70.94,10.85,9.98,9.18,97.45,20.81,8.0,24.11
R,2023,Ross Ihaka & Robert Gentleman,1993,Dynamic,"Functional, Procedural",68086,57035,15,9,11691,109726.25,3.76,39.75,58.16,4.91,83.85,1.92,4.87,2.17,31.22
Ruby,2023,Yukihiro Matsumoto,1995,Dynamic,Object-Oriented,68653,53657,16,18,11885,116550.19,3.08,38.9,11.13,61.4,7.1,7.91,1.0,4.24,15.47
MATLAB,2023,Cleve Moler,1984,Dynamic,"Array/Matrix-based, Procedural",71824,49566,17,16,11587,117660.27,3.86,51.65,16.05,1.13,54.16,2.56,10.6,20.73,22.98
Dart,2023,Google (Lars Bak & Kasper Lund),2011,Static,"Multi-paradigm (OOP, Functional)",35175,22641,18,20,6355,122161.76,3.8,62.09,3.93,15.95,2.51,74.92,7.89,4.43,14.41
Lua,2023,"Roberto Ierusalimschy, Luiz H. de Figueiredo, Waldemar Celes",1993,Dynamic,"Procedural, Scripting",41353,31594,19,21,5982,97933.78,3.64,65.97,2.63,6.1,1.97,10.68,58.15,42.66,12.14
Scala,2023,Martin Odersky,2004,Static,"Multi-paradigm (OOP, Functional)",32745,26204,20,19,5702,144963.44,6.47,79.15,7.74,18.74,27.26,1.0,1.0,1.06,27.75
Perl,2023,Larry Wall,1987,Dynamic,"Procedural, Scripting",39267,28616,21,22,6293,107617.29,5.51,61.52,1.0,26.66,1.0,2.3,1.0,12.31,18.38
VB.NET,2023,Microsoft,2002,Static,"Object-Oriented, Event-driven",27689,20079,22,23,5283,96697.74,3.46,56.15,1.58,11.86,1.0,6.4,3.7,4.24,10.4
Julia,2023,"Jeff Bezanson, Stefan Karpinski, Viral Shah, Alan Edelman",2012,Dynamic,"Multi-paradigm (Functional, Procedural)",18396,13411,23,17,2982,130238.12,5.04,73.77,41.81,1.0,76.24,3.21,1.0,6.76,31.84
Objective-C,2023,Brad Cox & Tom Love,1984,Static,Object-Oriented,26145,19060,24,26,4349,110369.06,6.0,72.58,1.0,1.0,1.0,35.43,3.03,12.74,16.14
Elixir,2023,José Valim,2011,Dynamic,"Functional, Concurrent",17944,14092,25,27,3063,121391.22,5.57,66.82,1.0,35.6,1.0,1.0,2.85,3.56,18.39
Haskell,2023,Simon Peyton Jones et al. (committee),1990,Static,Purely Functional,19990,16610,26,24,3586,124419.86,8.0,88.18,7.91,9.76,17.5,1.0,8.11,7.64,20.11
Groovy,2023,James Strachan,2003,Dynamic,"Multi-paradigm (OOP, Functional, Scripting)",18706,13794,27,25,2723,113898.7,4.71,59.82,9.11,24.95,3.15,1.0,5.15,1.0,17.96
Clojure,2023,Rich Hickey,2007,Dynamic,Functional,13072,9620,28,29,2270,133086.78,6.43,69.58,1.98,19.32,8.82,1.0,2.75,3.44,23.52
F#,2023,Microsoft (Don Syme),2005,Static,"Functional-first, Multi-paradigm",10252,7437,29,28,1831,127401.28,6.87,79.71,1.42,15.6,18.82,2.98,1.58,2.57,15.83
Python,2024,Guido van Rossum,1991,Dynamic,"Multi-paradigm (OOP, Functional, Procedural)",258788,203992,1,1,40350,132698.19,2.93,46.72,100.0,55.65,100.0,17.84,23.17,8.61,51.91
TypeScript,2024,Microsoft (Anders Hejlsberg),2012,Static,"Multi-paradigm (OOP, Functional)",179806,135795,2,2,31717,138707.06,4.42,52.94,48.96,98.26,24.74,29.05,33.93,5.93,37.27
JavaScript,2024,Brendan Eich,1995,Dynamic,"Multi-paradigm (Event-driven, Functional, Prototype-based)",227816,170832,3,3,36934,121815.89,3.36,51.86,63.9,94.14,29.5,43.51,51.71,8.35,35.85
SQL,2024,Donald D. Chamberlin & Raymond F. Boyce,1974,Static,Declarative,237576,159009,4,4,36814,116123.99,2.72,56.11,13.83,30.86,63.22,1.49,1.0,2.04,15.88
Java,2024,James Gosling,1995,Static,Object-Oriented,186111,143211,5,5,34817,130000.67,5.06,74.0,36.06,55.94,36.08,51.55,29.41,14.39,25.42
C++,2024,Bjarne Stroustrup,1985,Static,"Multi-paradigm (OOP, Procedural, Generic)",185833,133014,6,6,31168,136939.56,7.35,92.51,14.51,11.19,38.14,9.65,83.77,81.99,22.82
C#,2024,Microsoft (Anders Hejlsberg),2000,Static,"Multi-paradigm (OOP, Functional, Event-driven)",159758,98995,7,7,26509,122436.89,5.05,73.26,22.17,52.39,19.3,41.67,70.59,17.35,23.99
C,2024,Dennis Ritchie,1972,Static,Procedural,173155,126826,8,8,33497,128637.2,7.0,97.63,9.38,5.28,10.64,9.3,31.62,99.33,19.9
Go,2024,"Robert Griesemer, Rob Pike, Ken Thompson",2009,Static,"Procedural, Concurrent",108773,81452,9,10,20604,153948.4,3.81,88.57,11.96,55.71,11.43,5.05,3.8,25.94,31.55
Rust,2024,Graydon Hoare,2010,Static,"Multi-paradigm (Functional, Concurrent, Generic)",102313,66667,10,11,16051,163929.27,6.43,99.82,22.7,49.12,13.41,2.17,33.88,73.55,32.56
Shell (Bash),2024,Brian Fox,1989,Dynamic,"Scripting, Procedural",118327,96663,11,12,18454,98834.38,2.65,51.28,2.37,14.44,15.43,1.0,1.0,57.46,13.02
PHP,2024,Rasmus Lerdorf,1995,Dynamic,"Multi-paradigm (Procedural, OOP)",104839,74658,12,13,17563,98296.02,3.1,45.95,7.85,91.88,1.0,1.0,1.0,2.06,13.31
Kotlin,2024,JetBrains,2011,Static,"Multi-paradigm (OOP, Functional)",77755,57754,13,14,13457,147664.96,3.95,66.55,10.83,31.16,3.58,89.74,1.0,6.53,27.39
Swift,2024,Apple (Chris Lattner),2014,Static,"Multi-paradigm (OOP, Functional, Protocol-oriented)",67710,48275,14,15,10270,148884.38,4.58,70.09,6.56,12.79,5.41,90.55,16.56,7.85,26.82
R,2024,Ross Ihaka & Robert Gentleman,1993,Dynamic,"Functional, Procedural",78911,54754,15,9,13151,121215.31,4.06,40.88,55.37,6.87,94.43,11.84,1.0,1.0,29.5
Ruby,2024,Yukihiro Matsumoto,1995,Dynamic,Object-Oriented,70405,47024,16,18,11735,119071.83,2.92,42.09,6.76,67.47,11.21,10.11,1.0,8.73,18.93
MATLAB,2024,Cleve Moler,1984,Dynamic,"Array/Matrix-based, Procedural",63722,43474,17,16,10259,114888.97,4.17,48.67,19.77,2.95,54.67,1.0,1.0,15.01,21.25
Dart,2024,Google (Lars Bak & Kasper Lund),2011,Static,"Multi-paradigm (OOP, Functional)",44098,29927,18,20,6594,124873.67,3.78,58.97,9.75,20.29,2.15,77.64,9.88,1.14,22.98
Scala,2024,Martin Odersky,2004,Static,"Multi-paradigm (OOP, Functional)",33218,27486,19,19,6532,144859.59,6.25,78.14,12.24,23.93,30.34,10.04,1.0,5.0,29.82
Lua,2024,"Roberto Ierusalimschy, Luiz H. de Figueiredo, Waldemar Celes",1993,Dynamic,"Procedural, Scripting",44414,30986,20,21,6641,109175.33,3.51,62.77,4.66,8.44,8.24,6.5,59.09,42.99,17.08
Perl,2024,Larry Wall,1987,Dynamic,"Procedural, Scripting",33531,29655,21,22,6591,112267.47,5.66,56.47,4.96,10.12,1.68,1.58,1.0,11.13,19.39
VB.NET,2024,Microsoft,2002,Static,"Object-Oriented, Event-driven",28194,18119,22,23,4294,99861.35,3.45,54.16,4.47,21.9,1.0,3.11,1.0,1.0,11.9
Julia,2024,"Jeff Bezanson, Stefan Karpinski, Viral Shah, Alan Edelman",2012,Dynamic,"Multi-paradigm (Functional, Procedural)",20741,16601,23,17,3211,137966.58,5.61,71.56,41.12,1.78,70.83,1.0,1.0,5.46,29.19
Elixir,2024,José Valim,2011,Dynamic,"Functional, Concurrent",21040,15045,24,25,3599,130295.32,5.53,69.41,3.2,32.22,2.18,1.0,2.27,1.89,18.64
